REACTANT,REAGENT,CATALYST,SOLVENT,PRODUCT,YIELD
Cc1ccc(N)cc1.FC(F)(F)c1ccc(Br)cc1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CN(C)C(=NC(C)(C)C)N(C)C.O=S(=O)([O][Pd]1<-[NH2]c2ccccc2-c2cccc[c]21)C(F)(F)F.c1ccc(-c2ccno2)cc1,O=S(=O)([O][Pd]1[c]2ccccc2-c2ccccc2[NH2]~1)C(F)(F)F.CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,30.5912617
CCc1ccc(Br)cc1.Cc1ccc(N)cc1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CN(C)C(=NC(C)(C)C)N(C)C.O=S(=O)([O][Pd]1<-[NH2]c2ccccc2-c2cccc[c]21)C(F)(F)F.c1ccc(-c2ccno2)cc1,O=S(=O)([O][Pd]1[c]2ccccc2-c2ccccc2[NH2]~1)C(F)(F)F.CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,,CCc1ccc(Nc2ccc(C)cc2)cc1,18.8690087
COc1ccc(Br)cc1.Cc1ccc(N)cc1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CN(C)C(=NC(C)(C)C)N(C)C.O=S(=O)([O][Pd]1<-[NH2]c2ccccc2-c2cccc[c]21)C(F)(F)F.c1ccc(-c2ccno2)cc1,O=S(=O)([O][Pd]1[c]2ccccc2-c2ccccc2[NH2]~1)C(F)(F)F.CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,,COc1ccc(Nc2ccc(C)cc2)cc1,3.867385769
Brc1cccnc1.Cc1ccc(N)cc1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CN(C)C(=NC(C)(C)C)N(C)C.O=S(=O)([O][Pd]1<-[NH2]c2ccccc2-c2cccc[c]21)C(F)(F)F.c1ccc(-c2ccno2)cc1,O=S(=O)([O][Pd]1[c]2ccccc2-c2ccccc2[NH2]~1)C(F)(F)F.CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,,Cc1ccc(Nc2cccnc2)cc1,11.38334579
Brc1ccccn1.Cc1ccc(N)cc1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CN(C)C(=NC(C)(C)C)N(C)C.O=S(=O)([O][Pd]1<-[NH2]c2ccccc2-c2cccc[c]21)C(F)(F)F.c1ccc(-c2ccno2)cc1,O=S(=O)([O][Pd]1[c]2ccccc2-c2ccccc2[NH2]~1)C(F)(F)F.CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,,Cc1ccc(Nc2ccccn2)cc1,48.48749388
Cc1ccc(N)cc1.FC(F)(F)c1ccc(Cl)cc1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CN(C)C(=NC(C)(C)C)N(C)C.O=S(=O)([O][Pd]1<-[NH2]c2ccccc2-c2cccc[c]21)C(F)(F)F.c1ccc(-c2ccno2)cc1,O=S(=O)([O][Pd]1[c]2ccccc2-c2ccccc2[NH2]~1)C(F)(F)F.CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,14.01864146
CCc1ccc(Cl)cc1.Cc1ccc(N)cc1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CN(C)C(=NC(C)(C)C)N(C)C.O=S(=O)([O][Pd]1<-[NH2]c2ccccc2-c2cccc[c]21)C(F)(F)F.c1ccc(-c2ccno2)cc1,O=S(=O)([O][Pd]1[c]2ccccc2-c2ccccc2[NH2]~1)C(F)(F)F.CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,,CCc1ccc(Nc2ccc(C)cc2)cc1,2.84616447
COc1ccc(Cl)cc1.Cc1ccc(N)cc1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CN(C)C(=NC(C)(C)C)N(C)C.O=S(=O)([O][Pd]1<-[NH2]c2ccccc2-c2cccc[c]21)C(F)(F)F.c1ccc(-c2ccno2)cc1,O=S(=O)([O][Pd]1[c]2ccccc2-c2ccccc2[NH2]~1)C(F)(F)F.CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,,COc1ccc(Nc2ccc(C)cc2)cc1,0.456472494
Cc1ccc(N)cc1.Clc1cccnc1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CN(C)C(=NC(C)(C)C)N(C)C.O=S(=O)([O][Pd]1<-[NH2]c2ccccc2-c2cccc[c]21)C(F)(F)F.c1ccc(-c2ccno2)cc1,O=S(=O)([O][Pd]1[c]2ccccc2-c2ccccc2[NH2]~1)C(F)(F)F.CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,,Cc1ccc(Nc2cccnc2)cc1,4.169292721
Cc1ccc(N)cc1.Clc1ccccn1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CN(C)C(=NC(C)(C)C)N(C)C.O=S(=O)([O][Pd]1<-[NH2]c2ccccc2-c2cccc[c]21)C(F)(F)F.c1ccc(-c2ccno2)cc1,O=S(=O)([O][Pd]1[c]2ccccc2-c2ccccc2[NH2]~1)C(F)(F)F.CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,,Cc1ccc(Nc2ccccn2)cc1,21.66658644
