REACTANT,REAGENT,CATALYST,SOLVENT,PRODUCT,YIELD
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,CN(C)c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCO,OB(O)c1ccc2[nH]ccc2c1,87.13
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,CCCCC1([PH+](C2CCCCC2)C2CCCCC2)c2ccccc2-c2ccccc21.F[B-](F)(F)F,CCO,OB(O)c1ccc2[nH]ccc2c1,6.37
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,c1ccc(-n2cccc2P(C2CCCCC2)C2CCCCC2)cc1,CCO,OB(O)c1ccc2[nH]ccc2c1,71.75
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,CCO,OB(O)c1ccc2[nH]ccc2c1,64.52
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,CCO,OB(O)c1ccc2[nH]ccc2c1,80.44
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,c1ccc(P(C2CCCCC2)C2CCCCC2)c(-n2c3ccccc3c3ccccc32)c1,CCO,OB(O)c1ccc2[nH]ccc2c1,83.28
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,CCO,OB(O)c1ccc2[nH]ccc2c1,69.3
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,CCO,OB(O)c1ccc2[nH]ccc2c1,72.88
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,CCO,OB(O)c1ccc2[nH]ccc2c1,75.61
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,Cc1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CCO,OB(O)c1ccc2[nH]ccc2c1,56.11
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CCO,OB(O)c1ccc2[nH]ccc2c1,2.31
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,CN(C)c1ccccc1-c1ccccc1P(c1ccccc1)c1ccccc1,CCO,OB(O)c1ccc2[nH]ccc2c1,53.8
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,COc1cccc(OC)c1-c1ccccc1P(c1ccccc1)c1ccccc1,CCO,OB(O)c1ccc2[nH]ccc2c1,86.96
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2ccccc2)c2ccccc2)c(C(C)C)c1,CCO,OB(O)c1ccc2[nH]ccc2c1,3.73
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,C[PH+](C)C.F[B-](F)(F)F,CCO,OB(O)c1ccc2[nH]ccc2c1,0.0
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,CCO,OB(O)c1ccc2[nH]ccc2c1,11.34
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,CCO,OB(O)c1ccc2[nH]ccc2c1,87.97
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,Fc1ccc(P(c2ccc(F)cc2)c2ccc(F)cc2)cc1,CCO,OB(O)c1ccc2[nH]ccc2c1,85.3
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,c1ccc(P(c2ccccc2)C2CCCCC2)cc1,CCO,OB(O)c1ccc2[nH]ccc2c1,88.21
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCO,OB(O)c1ccc2[nH]ccc2c1,85.47
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,CC(C)(C)P(c1ccccc1)C(C)(C)C,CCO,OB(O)c1ccc2[nH]ccc2c1,0.0
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,Cc1cc(C)cc(P(c2cc(C)cc(C)c2)c2cc(C)cc(C)c2)c1,CCO,OB(O)c1ccc2[nH]ccc2c1,88.35
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,COc1cc(C(C)(C)C)cc(C(C)(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CCO,OB(O)c1ccc2[nH]ccc2c1,16.8
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,CN(C)c1ccc(P(c2ccccc2)c2ccccc2)cc1,CO,OB(O)c1ccc2[nH]ccc2c1,88.86
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,CCCCC1([PH+](C2CCCCC2)C2CCCCC2)c2ccccc2-c2ccccc21.F[B-](F)(F)F,CO,OB(O)c1ccc2[nH]ccc2c1,54.07
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,c1ccc(-n2cccc2P(C2CCCCC2)C2CCCCC2)cc1,CO,OB(O)c1ccc2[nH]ccc2c1,74.99
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,CO,OB(O)c1ccc2[nH]ccc2c1,82.92
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,CO,OB(O)c1ccc2[nH]ccc2c1,80.25
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,c1ccc(P(C2CCCCC2)C2CCCCC2)c(-n2c3ccccc3c3ccccc32)c1,CO,OB(O)c1ccc2[nH]ccc2c1,76.65
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,CO,OB(O)c1ccc2[nH]ccc2c1,53.73
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,CO,OB(O)c1ccc2[nH]ccc2c1,81.83
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,CO,OB(O)c1ccc2[nH]ccc2c1,86.58
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,Cc1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CO,OB(O)c1ccc2[nH]ccc2c1,42.08
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CO,OB(O)c1ccc2[nH]ccc2c1,12.16
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,CN(C)c1ccccc1-c1ccccc1P(c1ccccc1)c1ccccc1,CO,OB(O)c1ccc2[nH]ccc2c1,81.79
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,COc1cccc(OC)c1-c1ccccc1P(c1ccccc1)c1ccccc1,CO,OB(O)c1ccc2[nH]ccc2c1,18.23
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2ccccc2)c2ccccc2)c(C(C)C)c1,CO,OB(O)c1ccc2[nH]ccc2c1,6.73
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,C[PH+](C)C.F[B-](F)(F)F,CO,OB(O)c1ccc2[nH]ccc2c1,0.82
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,CO,OB(O)c1ccc2[nH]ccc2c1,30.4
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,CO,OB(O)c1ccc2[nH]ccc2c1,88.21
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,Fc1ccc(P(c2ccc(F)cc2)c2ccc(F)cc2)cc1,CO,OB(O)c1ccc2[nH]ccc2c1,87.76
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,c1ccc(P(c2ccccc2)C2CCCCC2)cc1,CO,OB(O)c1ccc2[nH]ccc2c1,89.66
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,CO,OB(O)c1ccc2[nH]ccc2c1,17.72
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,CC(C)(C)P(c1ccccc1)C(C)(C)C,CO,OB(O)c1ccc2[nH]ccc2c1,0.0
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,Cc1cc(C)cc(P(c2cc(C)cc(C)c2)c2cc(C)cc(C)c2)c1,CO,OB(O)c1ccc2[nH]ccc2c1,19.74
CN(C)S(=O)(=O)Oc1ccc2[nH]ccc2c1.OB(O)B(O)O,,COc1cc(C(C)(C)C)cc(C(C)(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CO,OB(O)c1ccc2[nH]ccc2c1,5.66
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,CN(C)c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCO,OB(O)c1ccccc1-c1ccccc1,79.28999999999999
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,CCCCC1([PH+](C2CCCCC2)C2CCCCC2)c2ccccc2-c2ccccc21.F[B-](F)(F)F,CCO,OB(O)c1ccccc1-c1ccccc1,15.445
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,c1ccc(-n2cccc2P(C2CCCCC2)C2CCCCC2)cc1,CCO,OB(O)c1ccccc1-c1ccccc1,54.59
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,CCO,OB(O)c1ccccc1-c1ccccc1,51.53
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,CCO,OB(O)c1ccccc1-c1ccccc1,45.43
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,c1ccc(P(C2CCCCC2)C2CCCCC2)c(-n2c3ccccc3c3ccccc32)c1,CCO,OB(O)c1ccccc1-c1ccccc1,42.96
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,CCO,OB(O)c1ccccc1-c1ccccc1,17.955
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,CCO,OB(O)c1ccccc1-c1ccccc1,28.16
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,CCO,OB(O)c1ccccc1-c1ccccc1,21.91
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,Cc1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CCO,OB(O)c1ccccc1-c1ccccc1,21.46
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CCO,OB(O)c1ccccc1-c1ccccc1,6.875
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,CN(C)c1ccccc1-c1ccccc1P(c1ccccc1)c1ccccc1,CCO,OB(O)c1ccccc1-c1ccccc1,55.045
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,COc1cccc(OC)c1-c1ccccc1P(c1ccccc1)c1ccccc1,CCO,OB(O)c1ccccc1-c1ccccc1,60.475
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2ccccc2)c2ccccc2)c(C(C)C)c1,CCO,OB(O)c1ccccc1-c1ccccc1,26.49
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,C[PH+](C)C.F[B-](F)(F)F,CCO,OB(O)c1ccccc1-c1ccccc1,15.61
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,CCO,OB(O)c1ccccc1-c1ccccc1,31.745
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,CCO,OB(O)c1ccccc1-c1ccccc1,71.46000000000001
Brc1ccccc1-c1ccccc1.OB(O)B(O)O,,Fc1ccc(P(c2ccc(F)cc2)c2ccc(F)cc2)cc1,CCO,OB(O)c1ccccc1-c1ccccc1,79.36500000000001
